"","Game","Team1Score","Team2Score","Margin","Team1Win","Team2Win","Team1Cover","Team2Cover","Total","Over","Under","OverTeam1Cover","OverTeam2Cover","UnderTeam1Cover","UnderTeam2Cover","OverTeam1Win","OverTeam2Win","UnderTeam1Win","UnderTeam2Win","GameTotal","GameSpread","Team1WinPayout","Team2WinPayout"
"1","mississippist-alabama",75.9560621670058,85.7913151755291,9.83525300852338,0.266251,0.733749,0.334117,0.665883,161.747377342535,0.643776,0.356224,0.205892,0.437884,0.128225,0.227999,0.164929,0.478847,0.101322,0.254902,153,3,130,-140
"2","vanderbilt-auburn",83.8423688192972,92.2203342725707,8.37796545327353,0.290268,0.709732,0.652124,0.347876,176.062703091868,0.853048,0.146952,0.561033,0.292015,0.091091,0.055861,0.256303,0.596745,0.033965,0.112987,153.5,14.5,950,-1150
"3","unlv-boisest",61.0637950844732,72.1270217528239,11.0632266683508,0.17677,0.82323,0.334972,0.665028,133.190816837297,0.386337,0.613663,0.132081,0.254256,0.202891,0.410772,0.074133,0.312204,0.102637,0.511026,137,6,220,-240
"4","ucsb-calpoly",63.1985736996759,59.3870299863259,-3.81154371335001,0.630971,0.369029,0.313088,0.686912,122.585603686002,0.270872,0.729128,0.095396,0.175476,0.217692,0.511436,0.173052,0.09782,0.457919,0.271209,131.5,-9.5,-430,380
"5","lbsu-calstnorthridge",70.231731641065,74.3567761741691,4.12504453310413,0.376796,0.623204,0.557977,0.442023,144.588507815234,0.242602,0.757398,0.13324,0.109362,0.424737,0.332661,0.093444,0.149158,0.283352,0.474046,156.5,6,210,-230
"6","furman-chattanooga",75.4485446986727,70.1320192275505,-5.31652547112222,0.636034,0.363966,0.462648,0.537352,145.580563926223,0.642709,0.357291,0.330728,0.311981,0.13192,0.225371,0.435706,0.207003,0.200328,0.156963,137.5,-6.5,-290,260
"7","tulsa-cincinnati",69.5943641382213,67.8306538411774,-1.76371029704396,0.554486,0.445514,0.807766,0.192234,137.425017979399,0.485436,0.514564,0.399152,0.086284,0.408614,0.10595,0.287844,0.197592,0.266642,0.247922,137,9,390,-440
"8","tulane-connecticut",66.3399478498681,65.4593953771032,-0.88055247276486,0.528027,0.471973,0.833713,0.166287,131.799343226971,0.4013,0.5987,0.335816,0.065484,0.497897,0.100803,0.225897,0.175403,0.30213,0.29657,135,11,540,-660
"9","southdakotast-denver",75.8919256565912,57.5463367539471,-18.345588902644,0.925124,0.074876,0.81323,0.18677,133.438262410538,0.246745,0.753255,0.215701,0.031044,0.597529,0.155726,0.234234,0.012511,0.69089,0.062365,144.5,-7,-290,260
"10","bradley-evansville",64.7677031826774,72.0365416249738,7.26883844229646,0.279962,0.720038,0.205421,0.794579,136.804244807651,0.517972,0.482028,0.101649,0.416323,0.103772,0.378256,0.137372,0.3806,0.14259,0.339438,135,-3,-150,140
"11","marist-fairfiield",40.9426787122527,49.1395810998479,8.19690238759519,0.196791,0.803209,0.615159,0.384841,90.0822598121006,0.078588,0.921412,0.046875,0.031713,0.568284,0.353128,0.019351,0.059237,0.17744,0.743972,108.5,11,500,-600
"12","stbonaventure-georgemason",59.0833408067913,62.4884114646649,3.40507065787356,0.37676,0.62324,0.412055,0.587945,121.571752271456,0.272719,0.727281,0.121281,0.151438,0.290774,0.436507,0.112187,0.160532,0.264573,0.462708,130,1,-105,-105
"13","stjohns-georgetown",71.3146072638651,82.8830941660011,11.568486902136,0.195998,0.804002,0.301917,0.698083,154.197701429866,0.439568,0.560432,0.127855,0.311713,0.174062,0.38637,0.084538,0.35503,0.11146,0.448972,156,4.5,170,-185
"14","duke-georgiatech",80.7052815239542,60.7923460816885,-19.9129354422656,0.934953,0.065047,0.738133,0.261867,141.497627605643,0.543359,0.456641,0.416625,0.126734,0.321508,0.135133,0.511006,0.032353,0.423947,0.032694,138.5,-11.5,-750,600
"15","northwestern-indiana",66.4883770139938,73.4616400793812,6.9732630653874,0.287143,0.712857,0.70163,0.29837,139.950017093375,0.510322,0.489678,0.364636,0.145686,0.336994,0.152684,0.162774,0.347548,0.124369,0.365309,138.5,13.5,800,-1000
"16","kansas-iowast",75.6441449841627,78.9682271152539,3.32408213109125,0.403804,0.596196,0.262224,0.737776,154.612372099417,0.676232,0.323768,0.186381,0.489851,0.075843,0.247925,0.279948,0.396284,0.123856,0.199912,145,-5.5,-235,215
"17","arkansas-lsu",71.5496405541676,79.4401788962886,7.89053834212098,0.288006,0.711994,0.462816,0.537184,150.989819450456,0.549183,0.450817,0.260582,0.288601,0.202234,0.248583,0.168516,0.380667,0.11949,0.331327,147.5,6.5,225,-245
"18","pittsburgh-unc",63.1271056578918,67.0047285642099,3.87762290631803,0.365838,0.634162,0.540012,0.459988,130.131834222102,0.305242,0.694758,0.162018,0.143224,0.377994,0.316764,0.112561,0.192681,0.253277,0.441481,137.5,5,185,-200
"19","notredame-ncst",71.2580166498702,79.8709174369312,8.61290078706099,0.267683,0.732317,0.354126,0.645874,151.128934086801,0.532268,0.467732,0.205092,0.327176,0.149034,0.318698,0.160218,0.37205,0.107465,0.360267,148.5,3.5,135,-145
"20","nebraskaomaha-northdakota",65.896471364275,71.7110659093721,5.81459454509702,0.32448,0.67552,0.428331,0.571669,137.607537273647,0.221552,0.778448,0.086944,0.134608,0.341387,0.437061,0.067263,0.154289,0.257217,0.521231,150.5,3.5,150,-160
"21","davidson-rhodeisland",67.5176472788649,69.2595670920781,1.74191981321313,0.445831,0.554169,0.562311,0.437689,136.777214370943,0.354716,0.645284,0.235318,0.119398,0.326993,0.318291,0.197659,0.157057,0.248172,0.397112,142.5,4,170,-185
"22","duquesne-stjoes",76.7578390188853,63.4329850659276,-13.3248539529577,0.816298,0.183702,0.638153,0.361847,140.190824084813,0.314557,0.685443,0.210782,0.103775,0.427371,0.258072,0.259861,0.054696,0.556437,0.129006,148.5,-8,-345,315
"23","georgewashington-stlouis",60.787195028513,65.4798902511164,4.69269522260337,0.342831,0.657169,0.686315,0.313685,126.267085279629,0.307812,0.692188,0.217538,0.090274,0.468777,0.223411,0.121961,0.185851,0.22087,0.471318,133.5,10.5,480,-570
"24","wofford-samford",69.6750623435568,67.1822438986517,-2.4928184449051,0.563042,0.436958,0.424838,0.575162,136.857306242208,0.245514,0.754486,0.139319,0.106195,0.285519,0.468967,0.168294,0.07722,0.394748,0.359738,149,-5,-200,185
"25","nevada-sanjosest",77.0252668108732,65.294603975545,-11.7306628353283,0.790782,0.209218,0.556538,0.443462,142.319870786418,0.296124,0.703876,0.191953,0.104171,0.364585,0.339291,0.247075,0.049049,0.543707,0.160169,151.5,-9.5,-475,420
"26","ucf-someth",59.6852653652778,78.9642697431563,19.2790043778785,0.058868,0.941132,0.16781,0.83219,138.649535108434,0.516173,0.483827,0.078033,0.43814,0.089777,0.39405,0.027386,0.488787,0.031482,0.452345,137,7.5,295,-325
"27","oklahoma-texas",71.8079753559811,70.9873942391052,-0.820581116875924,0.523522,0.476478,0.622012,0.377988,142.795369595086,0.625542,0.374458,0.382093,0.243449,0.239919,0.134539,0.3223,0.303242,0.201222,0.173236,136,3.5,150,-160
"28","lasalle-massachusetts",59.7706093117795,67.360093954652,7.58948464287247,0.28045,0.71955,0.378302,0.621698,127.130703266431,0.179146,0.820854,0.067149,0.111997,0.311153,0.509701,0.051738,0.127408,0.228712,0.592142,142.5,3.5,155,-165
"29","etsu-ncgreensboro",62.8411996640153,65.5528756966653,2.71167603265,0.414752,0.585248,0.445284,0.554716,128.394075360681,0.438133,0.561867,0.199669,0.238464,0.245615,0.316252,0.187152,0.250981,0.2276,0.334267,130,1,103,-113
"30","westerncarolina-vmi",77.3240707323123,73.9158592219623,-3.40821151035004,0.582847,0.417153,0.487549,0.512451,151.239929954275,0.42218,0.57782,0.204022,0.218158,0.283527,0.294293,0.23975,0.18243,0.343097,0.234723,154,-4,-170,160
"31","floridast-wakeforest",75.0595697656186,78.5434374467116,3.48386768109306,0.397006,0.602994,0.206038,0.793962,153.60300721233,0.718523,0.281477,0.157034,0.561489,0.049004,0.232473,0.292541,0.425982,0.104465,0.177012,142,-7.5,-340,310
"32","ipfw-westernillinois",81.572374378052,77.639738279094,-3.93263609895799,0.597203,0.402797,0.533479,0.466521,159.212112657146,0.576155,0.423845,0.326172,0.249983,0.207307,0.216538,0.360212,0.215943,0.236991,0.186854,154,-2.5,-145,135
"33","illinois-wisconsin",64.204686380748,68.4074944094288,4.20280802868077,0.363996,0.636004,0.493595,0.506405,132.612180790177,0.623567,0.376433,0.293891,0.329676,0.199704,0.176729,0.21669,0.406877,0.147306,0.229127,126.5,4,170,-185
"34","setonhall-xavier",67.4895843460522,71.2540392884391,3.76445494238694,0.381951,0.618049,0.490867,0.509133,138.743623634491,0.467896,0.532104,0.234398,0.233498,0.256469,0.275635,0.186725,0.281171,0.195226,0.336878,139,3.5,155,-165
"35","setonhall-xavier",67.4895843460522,71.2540392884391,3.76445494238694,0.381951,0.618049,0.490867,0.509133,138.743623634491,0.467896,0.532104,0.234398,0.233498,0.256469,0.275635,0.186725,0.281171,0.195226,0.336878,139,3.5,155,-165
